gene_id	stage
PF3D7_0109300	Gam
PF3D7_0303900	Gam
PF3D7_0309100	Gam
PF3D7_0311600	Gam
PF3D7_0322600	Gam
PF3D7_0417000	Gam
PF3D7_0418000	Gam
PF3D7_0419500	Gam
PF3D7_0513000	Gam
PF3D7_0514200	Gam
PF3D7_0517500	Gam
PF3D7_0614900	Gam
PF3D7_0618600	Gam
PF3D7_0703000	Gam
PF3D7_0703100	Gam
PF3D7_0708900	Gam
PF3D7_0714400	Gam
PF3D7_0719500	Gam
PF3D7_0726400	Gam
PF3D7_0819500	Gam
PF3D7_0824200	Gam
PF3D7_0826100	Gam
PF3D7_0910300	Gam
PF3D7_0914200	Gam
PF3D7_0918800	Gam
PF3D7_0924000	Gam
PF3D7_0933300	Gam
PF3D7_1014300	Gam
PF3D7_1015000	Gam
PF3D7_1016100	Gam
PF3D7_1023700	Gam
PF3D7_1024800	Gam
PF3D7_1029500	Gam
PF3D7_1031400	Gam
PF3D7_1032600	Gam
PF3D7_1036800	Gam
PF3D7_1104700	Gam
PF3D7_1112900	Gam
PF3D7_1118900	Gam
PF3D7_1120600	Gam
PF3D7_1121800	Gam
PF3D7_1122600	Gam
PF3D7_1124000	Gam
PF3D7_1135600	Gam
PF3D7_1137600	Gam
PF3D7_1143700	Gam
PF3D7_1149100	Gam
PF3D7_1205700	Gam
PF3D7_1209900	Gam
PF3D7_1215100	Gam
PF3D7_1216500	Gam
PF3D7_1227500	Gam
PF3D7_1234000	Gam
PF3D7_1234400	Gam
PF3D7_1250100	Gam
PF3D7_1251000	Gam
PF3D7_1304100	Gam
PF3D7_1304300	Gam
PF3D7_1306500	Gam
PF3D7_1319800	Gam
PF3D7_1319900	Gam
PF3D7_1324300	Gam
PF3D7_1324600	Gam
PF3D7_1326500	Gam
PF3D7_1338900	Gam
PF3D7_1345400	Gam
PF3D7_1348000	Gam
PF3D7_1348800	Gam
PF3D7_1356700	Gam
PF3D7_1359200	Gam
PF3D7_1359500	Gam
PF3D7_1360500	Gam
PF3D7_1365400	Gam
PF3D7_1403800	Gam
PF3D7_1416000	Gam
PF3D7_1421400	Gam
PF3D7_1423400	Gam
PF3D7_1426500	Gam
PF3D7_1433200	Gam
PF3D7_1452800	Gam
PF3D7_1462600	Gam
PF3D7_1470500	Gam
PF3D7_1474000	Gam
PF3D7_0104400	Gam/Mo
PF3D7_0107400	Gam/Mo
PF3D7_0210700	Gam/Mo
PF3D7_0306000	Gam/Mo
PF3D7_0306400	Gam/Mo
PF3D7_0306500	Gam/Mo
PF3D7_0318300	Gam/Mo
PF3D7_0319200	Gam/Mo
PF3D7_0320100	Gam/Mo
PF3D7_0323100	Gam/Mo
PF3D7_0422000	Gam/Mo
PF3D7_0505000	Gam/Mo
PF3D7_0508200	Gam/Mo
PF3D7_0512900	Gam/Mo
PF3D7_0519200	Gam/Mo
PF3D7_0615100	Gam/Mo
PF3D7_0620100	Gam/Mo
PF3D7_0626100	Gam/Mo
PF3D7_0626600	Gam/Mo
PF3D7_0628200	Gam/Mo
PF3D7_0708700	Gam/Mo
PF3D7_0713700	Gam/Mo
PF3D7_0720700	Gam/Mo
PF3D7_0722700	Gam/Mo
PF3D7_0728200	Gam/Mo
PF3D7_0801600	Gam/Mo
PF3D7_0804500	Gam/Mo
PF3D7_0806200	Gam/Mo
PF3D7_0808200	Gam/Mo
PF3D7_0815300	Gam/Mo
PF3D7_0823900	Gam/Mo
PF3D7_0825400	Gam/Mo
PF3D7_0829200	Gam/Mo
PF3D7_0829600	Gam/Mo
PF3D7_0922900	Gam/Mo
PF3D7_0930500	Gam/Mo
PF3D7_0934300	Gam/Mo
PF3D7_1007000	Gam/Mo
PF3D7_1011500	Gam/Mo
PF3D7_1021100	Gam/Mo
PF3D7_1104100	Gam/Mo
PF3D7_1107900	Gam/Mo
PF3D7_1122100	Gam/Mo
PF3D7_1125200	Gam/Mo
PF3D7_1127500	Gam/Mo
PF3D7_1132800	Gam/Mo
PF3D7_1136900	Gam/Mo
PF3D7_1141200	Gam/Mo
PF3D7_1141600	Gam/Mo
PF3D7_1147900	Gam/Mo
PF3D7_1202200	Gam/Mo
PF3D7_1209500	Gam/Mo
PF3D7_1209700	Gam/Mo
PF3D7_1222100	Gam/Mo
PF3D7_1227200	Gam/Mo
PF3D7_1230200	Gam/Mo
PF3D7_1232300	Gam/Mo
PF3D7_1248300	Gam/Mo
PF3D7_1248600	Gam/Mo
PF3D7_1303000	Gam/Mo
PF3D7_1303200	Gam/Mo
PF3D7_1323700	Gam/Mo
PF3D7_1326000	Gam/Mo
PF3D7_1331300	Gam/Mo
PF3D7_1333300	Gam/Mo
PF3D7_1333400	Gam/Mo
PF3D7_1339400	Gam/Mo
PF3D7_1339900	Gam/Mo
PF3D7_1340700	Gam/Mo
PF3D7_1347400	Gam/Mo
PF3D7_1354200	Gam/Mo
PF3D7_1354400	Gam/Mo
PF3D7_1358400	Gam/Mo
PF3D7_1360000	Gam/Mo
PF3D7_1362000	Gam/Mo
PF3D7_1365700	Gam/Mo
PF3D7_1369000	Gam/Mo
PF3D7_1402200	Gam/Mo
PF3D7_1403700	Gam/Mo
PF3D7_1406800	Gam/Mo
PF3D7_1425700	Gam/Mo
PF3D7_1434700	Gam/Mo
PF3D7_1435400	Gam/Mo
PF3D7_1439600	Gam/Mo
PF3D7_1458000	Gam/Mo
PF3D7_1459800	Gam/Mo
PF3D7_1462700	Gam/Mo
PF3D7_1465000	Gam/Mo
PF3D7_1470400	Gam/Mo
PF3D7_1471200	Gam/Mo
PF3D7_0306600	Mo
PF3D7_0725200	Mo
PF3D7_1003100	Mo
PF3D7_1022900	Mo
PF3D7_1032800	Mo
PF3D7_1114100	Mo
PF3D7_0107700	NA
PF3D7_0109900	NA
PF3D7_0212000	NA
PF3D7_0708200	NA
PF3D7_0713500	NA
PF3D7_0723200	NA
PF3D7_1019600	NA
PF3D7_1037800	NA
PF3D7_1121500	NA
PF3D7_1330700	NA
PF3D7_1401300	NA
PF3D7_1435000	NA
PF3D7_1448200	NA
PF3D7_1477800	NA
PF3D7_0106100	Shared
PF3D7_0305300	Shared
PF3D7_0406200	Shared
PF3D7_0413500	Shared
PF3D7_0417300	Shared
PF3D7_0423500	Shared
PF3D7_0423700	Shared
PF3D7_0515700	Shared
PF3D7_0523400	Shared
PF3D7_0603600	Shared
PF3D7_0623500	Shared
PF3D7_0704600	Shared
PF3D7_0806800	Shared
PF3D7_0807500	Shared
PF3D7_0812100	Shared
PF3D7_0903200	Shared
PF3D7_0904400	Shared
PF3D7_0909600	Shared
PF3D7_0911900	Shared
PF3D7_0912400	Shared
PF3D7_0918000	Shared
PF3D7_0919100	Shared
PF3D7_0922100	Shared
PF3D7_1007200	Shared
PF3D7_1010700	Shared
PF3D7_1037100	Shared
PF3D7_1103800	Shared
PF3D7_1107000	Shared
PF3D7_1108500	Shared
PF3D7_1108700	Shared
PF3D7_1109900	Shared
PF3D7_1115600	Shared
PF3D7_1125100	Shared
PF3D7_1129900	Shared
PF3D7_1212100	Shared
PF3D7_1222300	Shared
PF3D7_1237700	Shared
PF3D7_1241200	Shared
PF3D7_1314500	Shared
PF3D7_1353100	Shared
PF3D7_1353700	Shared
PF3D7_1407800	Shared
PF3D7_1410700	Shared
PF3D7_1462300	Shared
PF3D7_1472200	Shared
PF3D7_0702300	Asexual
PF3D7_0711700	Asexual
PF3D7_0731600	Asexual
PF3D7_0109100	Gam
PF3D7_0111400	Gam
PF3D7_0114000	Gam
PF3D7_0115100	Gam
PF3D7_0201700	Gam
PF3D7_0208900	Gam
PF3D7_0209000	Gam
PF3D7_0215000	Gam
PF3D7_0219700	Gam
PF3D7_0220100	Gam
PF3D7_0301600	Gam
PF3D7_0301700	Gam
PF3D7_0402400	Gam
PF3D7_0731100	Gam
PF3D7_0731800	Gam
PF3D7_0830600	Gam
PF3D7_0831000	Gam
PF3D7_0831300 	Gam
PF3D7_0935500	Gam
PF3D7_0936400	Gam
PF3D7_0936600	Gam
PF3D7_1028700	Gam
PF3D7_1031000	Gam
PF3D7_1038400	Gam
PF3D7_1102600	Gam
PF3D7_1200800	Gam
PF3D7_1216700	Gam
PF3D7_1218800	Gam
PF3D7_1253000	Gam
PF3D7_1253300	Gam
PF3D7_1346700	Gam
PF3D7_1346800	Gam
PF3D7_1363800	Gam
PF3D7_1407000	Gam
PF3D7_1410100	Gam
PF3D7_1429600	Gam
PF3D7_1455800	Gam
PF3D7_1475500	Gam
PF3D7_1477300	Gam
PF3D7_1477700	Gam
PF3D7_0213000	Gam/Mo
PF3D7_0513700	Gam/Mo
PF3D7_0721700	Gam/Mo
PF3D7_0828800	Gam/Mo
PF3D7_1449000	Gam/Mo
PF3D7_0800600	NA
PF3D7_1014200	NA
PF3D7_1036000	NA
PF3D7_1476600	NA
PF3D7_0102200	Shared
PF3D7_0113900	Shared
PF3D7_0201800	Shared
PF3D7_0202200	Shared
PF3D7_0208800	Shared
PF3D7_0220000	Shared
PF3D7_0402100	Shared
PF3D7_0424600	Shared
PF3D7_0501000	Shared
PF3D7_0501100	Shared
PF3D7_0501200	Shared
PF3D7_0526900	Shared
PF3D7_0721100	Shared
PF3D7_0730900	Shared
PF3D7_0801000	Shared
PF3D7_0936300	Shared
PF3D7_0936800	Shared
PF3D7_1001900	Shared
PF3D7_1002100	Shared
PF3D7_1016300	Shared
PF3D7_1031600	Shared
PF3D7_1102500	Shared
PF3D7_1149200	Shared
PF3D7_1301700	Shared
PF3D7_1302000	Shared
