gene_id	set_label	score
PF3D7_0109100	gametocyte	30.57097831
PF3D7_0513700	gametocyte	30.57097831
PF3D7_1250100	gametocyte	30.22305501
PF3D7_1451600	rest	30.06847797
PF3D7_1407000	gametocyte	29.74090332
PF3D7_1113900	rest	29.73144299
PF3D7_1325200	gametocyte	28.76362339
PF3D7_1346800	gametocyte	27.63237886
PF3D7_1012300	rest	27.42413693
PF3D7_1475500	gametocyte	27.17866089
PF3D7_1128300	gametocyte	26.68145485
PF3D7_0719200	gametocyte	26.5499167
PF3D7_1311100	rest	26.5499167
PF3D7_1346700	gametocyte	26.51724633
PF3D7_0515600	rest	26.4555011
PF3D7_1122900	rest	26.44492023
PF3D7_0109400	rest	26.20608998
PF3D7_0209000	gametocyte	26.19520166
PF3D7_0825900	gametocyte	25.83917443
PF3D7_0306500	rest	25.40307531
PF3D7_1431100	gametocyte	25.40307531
PF3D7_0608600	gametocyte	25.27192492
PF3D7_1206100	rest	25.27192492
PF3D7_1455800	gametocyte	24.87409993
PF3D7_1435300	rest	24.80817854
PF3D7_0303900	rest	24.66039324
PF3D7_0518700	gametocyte	24.66039324
PF3D7_1038400	gametocyte	24.66039324
PF3D7_1413200	rest	24.31246993
PF3D7_1220000	gametocyte	24.2279886
PF3D7_0417000	rest	24.19288832
PF3D7_1216500	gametocyte	24.00445611
PF3D7_0721700	rest	23.6838962
PF3D7_0905300	rest	23.6838962
PF3D7_0311800	rest	23.38351968
PF3D7_0208900	gametocyte	23.073004
PF3D7_0729900	rest	22.9056424
PF3D7_1023100	rest	22.41570009
PF3D7_1130800	gametocyte	22.34697664
PF3D7_1426500	gametocyte	22.24535574
PF3D7_0717500	rest	22.14516098
PF3D7_1011000	rest	21.28938915
PF3D7_1465000	rest	21.28938915
PF3D7_1426700	rest	21.24673196
PF3D7_0803700	rest	20.97481662
PF3D7_1430800	gametocyte	19.81758561
PF3D7_0915700	rest	19.73541706
PF3D7_0114000	rest	19.47171207
PF3D7_0103800	rest	19.3440124
PF3D7_0829600	rest	19.04792325
PF3D7_0309100	rest	18.87249068
PF3D7_1404200	gametocyte	18.82341468
PF3D7_0917500	rest	18.7539161
PF3D7_1466600	rest	18.56033036
PF3D7_0107400	rest	18.43639156
PF3D7_0708700	rest	18.43639156
PF3D7_1031000	gametocyte	18.43639156
PF3D7_1219900	rest	18.43639156
PF3D7_1319800	rest	18.39705106
PF3D7_0820700	rest	18.24356468
PF3D7_0310300	gametocyte	18.14884602
PF3D7_1017000	rest	18.00255658
PF3D7_1474900	rest	17.9264536
PF3D7_1251000	rest	17.80241224
PF3D7_1142800	rest	17.72751026
PF3D7_1251300	rest	17.55751574
PF3D7_1346000	rest	17.53047228
PF3D7_1023200	rest	17.51259473
PF3D7_1021100	rest	17.43357694
PF3D7_1312600	rest	17.41348968
PF3D7_1326000	rest	17.28955017
PF3D7_0720400	rest	17.24515677
PF3D7_1342100	rest	17.14027687
PF3D7_1327300	rest	17.0906461
PF3D7_1310000	rest	16.94680215
PF3D7_1439400	rest	16.60695224
PF3D7_1439600	rest	16.45001485
PF3D7_1437700	rest	16.43054288
PF3D7_1420900	rest	16.35149212
PF3D7_1218800	rest	16.25083591
PF3D7_0523100	rest	16.2306572
PF3D7_0703800	rest	16.15599002
PF3D7_0621100	rest	16.10202517
PF3D7_0620100	rest	16.10094866
PF3D7_0815400	rest	16.02153236
PF3D7_0411900	rest	15.87451267
PF3D7_0513000	rest	15.86381279
PF3D7_1351100	rest	15.62622202
PF3D7_0927100	rest	15.43394008
PF3D7_0936600	rest	15.42398339
PF3D7_1304100	rest	15.36351741
PF3D7_0802800	rest	15.32758487
PF3D7_0217100	rest	15.30223026
PF3D7_1205500	rest	15.04771405
PF3D7_1215100	rest	14.94598133
PF3D7_1349100	rest	14.87451267
PF3D7_0802900	rest	14.86381279
PF3D7_0921000	rest	14.78668669
PF3D7_0414000	rest	14.73546699
PF3D7_1462700	rest	14.6190949
PF3D7_0618500	rest	14.60084046
PF3D7_1449000	rest	14.5856743
PF3D7_1247800	rest	14.51588948
PF3D7_0308000	rest	14.51014325
PF3D7_1111100	rest	14.46190191
PF3D7_0626500	rest	14.43140815
PF3D7_0934500	rest	14.39653246
PF3D7_0923700	rest	14.39199744
PF3D7_0522900	rest	14.31708239
PF3D7_0810300	rest	14.28520992
PF3D7_1241700	rest	14.28009056
PF3D7_1436600	rest	14.17310826
PF3D7_1016900	rest	14.16830422
PF3D7_0927800	rest	14.01189718
PF3D7_0818700	rest	13.99300435
PF3D7_0323800	rest	13.98785415
