Gene ID	source_id	Previous ID(s)	
PF3D7_0100100	PF3D7_0100100.1	Previous IDs: MAL1P4.01;PFA0005w	
PF3D7_0100200	PF3D7_0100200.1	Previous IDs: MAL1P4.02;PFA0010c	
PF3D7_0100300	PF3D7_0100300.1	Previous IDs: MAL1P4.03;PFA0015c	
PF3D7_0100400	PF3D7_0100400.1	Previous IDs: MAL1P4.04;PFA0020w	
PF3D7_0100500	PF3D7_0100500.1	Previous IDs: MAL1P4.05;PFA0025c	
PF3D7_0100600	PF3D7_0100600.1	Previous IDs: MAL1P4.06;PFA0030c	
PF3D7_0100700	PF3D7_0100700.1	Previous IDs: MAL1P4.06b;PFA0035c	
PF3D7_0100800	PF3D7_0100800.1	Previous IDs: MAL1P4.07;PFA0040w	
PF3D7_0100900	PF3D7_0100900.1	Previous IDs: MAL1P4.08;PFA0045c	
PF3D7_0101000	PF3D7_0101000.1	Previous IDs: MAL1P1.9a;PFA0050c	
PF3D7_0101100	PF3D7_0101100.1	Previous IDs: MAL1P1.2;PFA0055c	
PF3D7_0101200	PF3D7_0101200.1	Previous IDs: MAL1P1.3;PFA0060w	
PF3D7_0101300	PF3D7_0101300.1	Previous IDs: MAL1P1.4;PFA0065w	
PF3D7_0101400	PF3D7_0101400.1	Previous IDs: MAL1P1.5;PFA0070c	
PF3D7_0101500	PF3D7_0101500.1	Previous IDs: MAL1P1.6;PFA0075w	
PF3D7_0101600	PF3D7_0101600.1	Previous IDs: MAL1P1.7;PFA0080c	
PF3D7_0101700	PF3D7_0101700.1	Previous IDs: MAL1P1.8;PFA0085c	
PF3D7_0101800	PF3D7_0101800.1	Previous IDs: MAL1P1.9b;PFA0090c	
PF3D7_0101900	PF3D7_0101900.1	Previous IDs: MAL1P1.10;PFA0095c	
PF3D7_0102000	PF3D7_0102000.1	Previous IDs: MAL1P1.11;PFA0100c	
PF3D7_0102100	PF3D7_0102100.1	Previous IDs: MAL1P1.11a;PFA0105w	
PF3D7_0102200	PF3D7_0102200.1	Previous IDs: MAL1P1.13;PFA0110w	
PF3D7_0102300	PF3D7_0102300.1	Previous IDs: MAL1P1.14;PFA0115w	
PF3D7_0102400	PF3D7_0102400.1	Previous IDs: MAL1P1.15;PFA0120c	
PF3D7_0102500	PF3D7_0102500.1	Previous IDs: MAL1P1.16;PFA0125c	
PF3D7_0102600	PF3D7_0102600.1	Previous IDs: MAL1P1.17;PFA0130c	
PF3D7_0102700	PF3D7_0102700.1	Previous IDs: MAL1P1.18;PFA0135w	
PF3D7_0102800	PF3D7_0102800.1	Previous IDs: MAL1P1.19;PFA0140c	
PF3D7_0102900	PF3D7_0102900.1	Previous IDs: MAL1P1.20;PFA0145c	
PF3D7_0103000	PF3D7_0103000.1	Previous IDs: MAL1P1.71;PFA0150c	
PF3D7_0103100	PF3D7_0103100.1	Previous IDs: MAL1P1.72;PFA0155c	
PF3D7_0103200	PF3D7_0103200.1	Previous IDs: MAL1P1.73;PFA0160c	
PF3D7_0103300	PF3D7_0103300.1	Previous IDs: MAL1P1.74;PFA0165c	
PF3D7_0103400	PF3D7_0103400.1	Previous IDs: MAL1P1.74b;PFA0170c	
PF3D7_0103500	PF3D7_0103500.1	Previous IDs: MAL1P1.21;PFA0175w	
PF3D7_0103600	PF3D7_0103600.1	Previous IDs: MAL1P1.22;PFA0180w	
PF3D7_0103700	PF3D7_0103700.1	Previous IDs: MAL1P1.23;PFA0185w	
PF3D7_0103800	PF3D7_0103800.1	Previous IDs: MAL1P1.24;PFA0190c	
PF3D7_0103900	PF3D7_0103900.1	Previous IDs: MAL1P1.29;PFA0195w	
PF3D7_0104000	PF3D7_0104000.1	Previous IDs: MAL1P1.30;PFA0200w	
PF3D7_0104100	PF3D7_0104100.1	Previous IDs: MAL1P1.31;PFA0205w	
PF3D7_0104200	PF3D7_0104200.1	Previous IDs: MAL1P1.33;PFA0210c	
PF3D7_0104300	PF3D7_0104300.1	Previous IDs: MAL1P1.34b;PFA0215w;PFA0220w	
PF3D7_0104400	PF3D7_0104400.1	Previous IDs: MAL1P1.35;PFA0225w	
PF3D7_0104500	PF3D7_0104500.1	Previous IDs: MAL1P1.36;PFA0230c	
PF3D7_0104600	PF3D7_0104600.1	Previous IDs: MAL1P1.37;PFA0235w	
PF3D7_0104700	PF3D7_0104700.1	Previous IDs: MAL1P1.39;PFA0240w	
PF3D7_0104800	PF3D7_0104800.1	Previous IDs: MAL1P1.40;PFA0245w	
PF3D7_0104900	PF3D7_0104900.1	Previous IDs: PFA0246c;PFA0246c.1	
PF3D7_0105000	PF3D7_0105000.1	Previous IDs: PF01TR001;PF01TR001:ncRNA	
PF3D7_0105100	PF3D7_0105100.1	Previous IDs: MAL1P1.41;PFA0250w	
PF3D7_0105200	PF3D7_0105200.1	Previous IDs: MAL1P1.42;PFA0255c	
PF3D7_0105300	PF3D7_0105300.1	Previous IDs: MAL1P1.43;PFA0260c	
PF3D7_0105400	PF3D7_0105400.1	Previous IDs: MAL1P1.44;PF3D7_0105400.1;PF3D7_0105400.2;PFA0265c	
PF3D7_0105400	PF3D7_0105400.2	Previous IDs: MAL1P1.44;PF3D7_0105400.1;PF3D7_0105400.2;PFA0265c	
PF3D7_0105500	PF3D7_0105500.1	Previous IDs: MAL1P1.45;PFA0270c	
PF3D7_0105600	PF3D7_0105600.1	Previous IDs: MAL1P1.46;PFA0275c	
PF3D7_0105700	PF3D7_0105700.1	Previous IDs: MAL1P1.47;PFA0280w	
PF3D7_0105800	PF3D7_0105800.1	Previous IDs: MAL1P1.48;PFA0285c	
PF3D7_0105900	PF3D7_0105900.1	Previous IDs: MAL1P1.49;PFA0290w	
PF3D7_0106000	PF3D7_0106000.1	Previous IDs: MAL1P1.50;PFA0295c	
PF3D7_0106100	PF3D7_0106100.1	Previous IDs: MAL1P1.52;PFA0300c	
PF3D7_0106200	PF3D7_0106200.1	Previous IDs: MAL1P1.53;PFA0305c	
PF3D7_0106300	PF3D7_0106300.1	Previous IDs: MAL1P1.54;PFA0310c	
PF3D7_0106400	PF3D7_0106400.1	Previous IDs: MAL1P1.55;PFA0315w	
PF3D7_0106500	PF3D7_0106500.1	Previous IDs: MAL1P1.56;PFA0320w	
PF3D7_0106600	PF3D7_0106600.1	Previous IDs: MAL1P1.57;PFA0325w	
PF3D7_0106700	PF3D7_0106700.1	Previous IDs: MAL1P1.58;PFA0330w	
PF3D7_0106800	PF3D7_0106800.1	Previous IDs: MAL1P1.59;PFA0335w	
PF3D7_0106900	PF3D7_0106900.1	Previous IDs: MAL1P1.60;PFA0340w	
PF3D7_0107000	PF3D7_0107000.1	Previous IDs: MAL1P1.61;PFA0345w	
PF3D7_0107100	PF3D7_0107100.1	Previous IDs: MAL1P1.63;PFA0350c	
PF3D7_0107200	PF3D7_0107200.1	Previous IDs: MAL1P1.64;PFA0350w;PFA0355w;PFA0355w:exon:1	
PF3D7_0107300	PF3D7_0107300.1	Previous IDs: MAL1P1.65;PFA0360c	
PF3D7_0107400	PF3D7_0107400.1	Previous IDs: MAL1P2.02;PFA0370w	
PF3D7_0107500	PF3D7_0107500.1	Previous IDs: MAL1P2.03;PFA0375c	
PF3D7_0107600	PF3D7_0107600.1	Previous IDs: MAL1P2.04;PFA0380w	
PF3D7_0107700	PF3D7_0107700.1	Previous IDs: MAL1P2.05;PFA0385w	
PF3D7_0107800	PF3D7_0107800.1	Previous IDs: MAL1P2.06;PFA0390w	
PF3D7_0107900	PF3D7_0107900.1	Previous IDs: PFA0395c;PFA0395w	
PF3D7_0108000	PF3D7_0108000.1	Previous IDs: MAL1P2.08;PFA0400c	
PF3D7_0108100	PF3D7_0108100.1	Previous IDs: MAL1P2.09;PFA0405w	
PF3D7_0108300	PF3D7_0108300.1	Previous IDs: MAL1P2.10;PFA0410w	
PF3D7_0108400	PF3D7_0108400.1	Previous IDs: MAL1P2.12;PF3D7_0108400.1;PF3D7_0108400.2;PFA0415c	
PF3D7_0108400	PF3D7_0108400.2	Previous IDs: MAL1P2.12;PF3D7_0108400.1;PF3D7_0108400.2;PFA0415c	
PF3D7_0108500	PF3D7_0108500.1	Previous IDs: MAL1P2.13;PFA0420w	
PF3D7_0108600	PF3D7_0108600.1	Previous IDs: MAL1P2.14;PFA0425c	
PF3D7_0108700	PF3D7_0108700.1	Previous IDs: MAL1P2.15;PFA0430c	
PF3D7_0108800	PF3D7_0108800.1	Previous IDs: MAL1P2.16;PFA0435w	
PF3D7_0108900	PF3D7_0108900.1	Previous IDs: PF01TR005;PF01TR005:ncRNA	
PF3D7_0109000	PF3D7_0109000.1	Previous IDs: MAL1P2.17;PFA0440w	
PF3D7_0109100	PF3D7_0109100.1	Previous IDs: MAL1P2.18;PFA0445w	
PF3D7_0109200	PF3D7_0109200.1	Previous IDs: MAL1P2.19;PFA0450c	
PF3D7_0109300	PF3D7_0109300.1	Previous IDs: MAL1P2.20;PFA0455c	
PF3D7_0109400	PF3D7_0109400.1	Previous IDs: MAL1P2.21;PFA0460c	
PF3D7_0109500	PF3D7_0109500.1	Previous IDs: MAL1P2.22;PFA0465c	
PF3D7_0109600	PF3D7_0109600.1	Previous IDs: MAL1P2.23;PFA0470c	
PF3D7_0109700	PF3D7_0109700.1	Previous IDs: MAL1P2.24;PFA0475c	
PF3D7_0109800	PF3D7_0109800.1	Previous IDs: MAL1P2.25;PFA0480w	
PF3D7_0109850	PF3D7_0109850.1	Previous IDs: MAL1P2.26;PF3D7_0109900;PF3D7_0109900.1;PF3D7_0109900.2;PFA0485w	
PF3D7_0109950	PF3D7_0109950.1	Previous IDs: MAL1P2.26;PF3D7_0109900;PFA0485w	
PF3D7_0110000	PF3D7_0110000.1	Previous IDs: MAL1P2.27;PFA0490w	
PF3D7_0110100	PF3D7_0110100.1	Previous IDs: MAL1P2.28;PFA0495c	
PF3D7_0110200	PF3D7_0110200.1	Previous IDs: MAL1P2.29;PFA0500w	
