sex	gene_id
Male	PF3D7_0905300
Male	PF3D7_1122900
Male	PF3D7_1023100
Male	PF3D7_0111000
Male	PF3D7_1245600
Male	PF3D7_1114000
Male	PF3D7_1426300
Male	PF3D7_0718000
Male	PF3D7_1025500
Male	PF3D7_0922000
Male	PF3D7_1412600
Male	PF3D7_1126800
Male	PF3D7_0605600
Male	PF3D7_0408500
Male	PF3D7_0809700
Male	PF3D7_0706700
Male	PF3D7_1425900
Male	PF3D7_0705300
Male	PF3D7_1343400
Male	PF3D7_0510500
Male	PF3D7_0630300
Male	PF3D7_0524700
Male	PF3D7_1311700
Male	PF3D7_1340800
Male	PF3D7_1443900
Male	PF3D7_0510000
Male	PF3D7_1113900
Male	PF3D7_0314400
Male	PF3D7_0208900
Male	PF3D7_1348800
Male	PF3D7_0628100
Male	PF3D7_1130800
Male	PF3D7_1243900
Male	PF3D7_0800200
Male	PF3D7_0906500
Male	PF3D7_0508400
Male	PF3D7_1104600
Male	PF3D7_1236600
Male	PF3D7_0818500
Male	PF3D7_1470500
Male	PF3D7_1324800
Male	PF3D7_0914700
Male	PF3D7_0812500
Male	PF3D7_1352800
Male	PF3D7_1452700
Male	PF3D7_0622500
Male	PF3D7_0616200
Male	PF3D7_1237000
Male	PF3D7_0212900
Male	PF3D7_0928900
Male	PF3D7_0509800
Male	PF3D7_0915200
Male	PF3D7_1108000
Male	PF3D7_1345100
Male	PF3D7_1347000
Male	PF3D7_0202000
Male	PF3D7_1361400
Male	PF3D7_0708100
Male	PF3D7_0605400
Male	PF3D7_0629500
Male	PF3D7_0405300
Male	PF3D7_0515000
Male	PF3D7_1252100
Male	PF3D7_1209400
Male	PF3D7_1447900
Male	PF3D7_1419100
Male	PF3D7_0910600
Male	PF3D7_0831600
Male	PF3D7_1335300
Male	PF3D7_0309800
Male	PF3D7_1227600
Male	PF3D7_1227500
Male	PF3D7_1231600
Male	PF3D7_0703800
Male	PF3D7_1311100
Male	PF3D7_0828700
Male	PF3D7_1348700
Male	PF3D7_1468000
Male	PF3D7_1462600
Male	PF3D7_1142100
Male	PF3D7_1023700
Male	PF3D7_0916400
Male	PF3D7_1474600
Male	PF3D7_1406500
Male	PF3D7_0418100
Male	PF3D7_1466600
Male	PF3D7_0510800
Male	PF3D7_1456300
Male	PF3D7_1135600
Male	PF3D7_1366300
Male	PF3D7_0630600
Male	PF3D7_0205600
Male	PF3D7_1440600
Male	PF3D7_0410900
Male	PF3D7_1021200
Male	PF3D7_1345400
Male	PF3D7_1215800
Male	PF3D7_1210600
Male	PF3D7_0713500
Male	PF3D7_1402100
Male	PF3D7_0610700
Male	PF3D7_0821400
Male	PF3D7_1406200
Male	PF3D7_1004500
Male	PF3D7_1446700
Male	PF3D7_0824200
Male	PF3D7_1358200
Male	PF3D7_0626500
Male	PF3D7_0316500
Male	PF3D7_1229900
Male	PF3D7_0720900
Male	PF3D7_1470100
Male	PF3D7_1450500
Male	PF3D7_1443600
Male	PF3D7_1421300
Male	PF3D7_0829100
Male	PF3D7_1345300
Male	PF3D7_1125600
Male	PF3D7_0306000
Female	PF3D7_1020300
Female	PF3D7_1465800
Female	PF3D7_0319400
Female	PF3D7_1341300
Female	PF3D7_0903900
Female	PF3D7_0310600
Female	PF3D7_1402500
Female	PF3D7_1367600
Female	PF3D7_1028400
Female	PF3D7_0304400
Female	PF3D7_1146000
Female	PF3D7_1460300
Female	PF3D7_1312900
Female	PF3D7_1250600
Female	PF3D7_1332800
Female	PF3D7_0828500
Female	PF3D7_1309500
Female	PF3D7_0729000
Female	PF3D7_0410400
Female	PF3D7_0212500
Female	PF3D7_1129400
Female	PF3D7_1311300
Female	PF3D7_1426900
Female	PF3D7_0727200
Female	PF3D7_1439600
Female	PF3D7_0715500
Female	PF3D7_1208300
Female	PF3D7_0928000
Female	PF3D7_1239600
Female	PF3D7_0415600
Female	PF3D7_1212800
Female	PF3D7_0603300
Female	PF3D7_0726900
Female	PF3D7_1223800
Female	PF3D7_0517500
Female	PF3D7_1025100
Female	PF3D7_0208800
Female	PF3D7_0318300
Female	PF3D7_1321900
Female	PF3D7_1248600
Female	PF3D7_0213200
Female	PF3D7_1474400
Female	PF3D7_1327800
Female	PF3D7_1446900
Female	PF3D7_0801000
Female	PF3D7_0319100
Female	PF3D7_0805000
Female	PF3D7_0924300
Female	PF3D7_1241900
Female	PF3D7_1244400
Female	PF3D7_1123100
Female	PF3D7_1349300
Female	PF3D7_1443000
Female	PF3D7_1355700
Female	PF3D7_1356800
Female	PF3D7_1434600
Female	PF3D7_1458000
Female	PF3D7_1136900
Female	PF3D7_0904600
Female	PF3D7_0317800
Female	PF3D7_0808200
Female	PF3D7_1128700
Female	PF3D7_0618600
Female	PF3D7_1107400
Female	PF3D7_1365600
Female	PF3D7_0402300
Female	PF3D7_0519200
Female	PF3D7_1249800
Female	PF3D7_1027300
Female	PF3D7_0930300
Female	PF3D7_0813200
Female	PF3D7_0509000
Female	PF3D7_0403100
Female	PF3D7_0603400
Female	PF3D7_0516800
Female	PF3D7_0514000
Female	PF3D7_0310500
