Gene ID	source_id	Product Description	Previous ID(s)	
PF3D7_0100200	PF3D7_0100200.1	rifin	Previous IDs: MAL1P4.02;PFA0010c	
PF3D7_0100400	PF3D7_0100400.1	rifin	Previous IDs: MAL1P4.04;PFA0020w	
PF3D7_0100600	PF3D7_0100600.1	rifin	Previous IDs: MAL1P4.06;PFA0030c	
PF3D7_0100800	PF3D7_0100800.1	rifin	Previous IDs: MAL1P4.07;PFA0040w	
PF3D7_0100900	PF3D7_0100900.1	rifin	Previous IDs: MAL1P4.08;PFA0045c	
PF3D7_0101000	PF3D7_0101000.1	rifin	Previous IDs: MAL1P1.9a;PFA0050c	
PF3D7_0101600	PF3D7_0101600.1	rifin	Previous IDs: MAL1P1.7;PFA0080c	
PF3D7_0101900	PF3D7_0101900.1	rifin	Previous IDs: MAL1P1.10;PFA0095c	
PF3D7_0114700	PF3D7_0114700.1	rifin	Previous IDs: MAL1P4.17;PFA0710c	
PF3D7_0115200	PF3D7_0115200.1	rifin	Previous IDs: MAL1P4.23;PFA0740w	
PF3D7_0115300	PF3D7_0115300.1	rifin	Previous IDs: MAL1P4.25;PFA0745w	
PF3D7_0115600	PF3D7_0115600.1	rifin	Previous IDs: MAL1P4.28;PFA0760w	
PF3D7_0200200	PF3D7_0200200.1	rifin	Previous IDs: PF02_0002;PFB0015c	
PF3D7_0200500	PF3D7_0200500.1	rifin	Previous IDs: PF02_0005;PFB0030c	
PF3D7_0200600	PF3D7_0200600.1	rifin	Previous IDs: PF02_0006;PFB0035c	
PF3D7_0200700	PF3D7_0200700.1	rifin	Previous IDs: PF02_0007;PFB0040c	
PF3D7_0201000	PF3D7_0201000.1	rifin	Previous IDs: PF02_0010;PFB0055c	
PF3D7_0201200	PF3D7_0201200.1	rifin	Previous IDs: PF02_0012;PFB0060w	
PF3D7_0222400	PF3D7_0222400.1	rifin, pseudogene	Previous IDs: PF02_0212;PFB1000w	
PF3D7_0222500	PF3D7_0222500.1	rifin	Previous IDs: PF02_0213;PFB1005w	
PF3D7_0222600	PF3D7_0222600.1	rifin	Previous IDs: PF02_0214;PFB1010w	
PF3D7_0222700	PF3D7_0222700.1	rifin	Previous IDs: PF02_0215;PFB1015w	
PF3D7_0223100	PF3D7_0223100.1	rifin	Previous IDs: PF02_0219;PFB1035w	
PF3D7_0223200	PF3D7_0223200.1	rifin	Previous IDs: PF02_0220;PFB1040w	
PF3D7_0223400	PF3D7_0223400.1	rifin	Previous IDs: PF02_0222;PFB1050w	
