Cluster	GeneID	circulating_pvalue	sequestered_pvalue	plasmodb_id	stage
7	PFC0990C	1	4.69e-50	PF3D7_0322200	imm_gam
21	PF14_0131	1	2.92e-40	PF3D7_1413200	imm_gam
21	PFL1730C	1	4.03e-06	PF3D7_1235800	imm_gam
30	PF11_0479	1	0.29007227	PF3D7_1146800	imm_gam
36	PF07_0089	1	7.03e-72	PF3D7_0721700	imm_gam
36	PF13_0247	1	1.27e-46	PF3D7_1346700	imm_gam
36	PF14_0195	1	8.74e-16	PF3D7_1420100	imm_gam
36	PF14_0367	0.000694021	1	PF3D7_1438800	imm_gam
36	PFE0540W	1	0.048890843	PF3D7_0510800	imm_gam
95	PFL0730W	1.19e-05	1	PF3D7_1215100	imm_gam
108	PF13_0037	1	0.049294734	PF3D7_1307300	imm_gam
122	MAL6P1.52	NA	NA	PF3D7_0604900	imm_gam
124	PF13_0227	1.08e-43	1	PF3D7_1341900	imm_gam
131	PFC0905C	6e-08	1	PF3D7_0320400	imm_gam
166	PFA0460C	1	3.36e-62	PF3D7_0109400	imm_gam
178	PF11_0451	1	7.35e-18	PF3D7_1143700	imm_gam
193	MAL6P1.259	NA	NA	PF3D7_0616700	imm_gam
202	PF11_0196	2.85e-05	1	PF3D7_1118900	imm_gam
210	PF14_0030	1	4.3e-34	PF3D7_1403000	imm_gam
218	MAL13P1.205	1	5.47e-05	PF3D7_1340700	imm_gam
218	PF11_0236	2.52e-05	1	PF3D7_1122600	imm_gam
223	PF11_0251	2.59e-90	1	PF3D7_1124000	imm_gam
240	PF11_0330	1	8.35e-07	PF3D7_1132100	imm_gam
240	PF13_0144	1	0.70839174	PF3D7_1325200	imm_gam
240	PF14_0523	0.058580505	1	PF3D7_1455000	imm_gam
240	PF14_0712	1	0.059873127	PF3D7_1474400	imm_gam
240	PFI0315C	1	8.43e-33	PF3D7_0906400	imm_gam
241	PF11_0222	1	0.000197906	PF3D7_1121400	imm_gam
242	PFI0440W	1	1.66e-48	PF3D7_0909100	imm_gam
252	PF10_0196	0.038517391	1	PF3D7_1020300	imm_gam
252	PF14_0244	1	4.02e-11	PF3D7_1426500	imm_gam
254	PFL1690W	1	7.46e-05	PF3D7_1235000	imm_gam
261	PFA0445W	1	0.000867053	PF3D7_0109100	imm_gam
262	PF14_0290	1	2.96e-46	PF3D7_1431100	imm_gam
262	PFC0381C	1	9.99e-15	PF3D7_0309100	imm_gam
263	PF08_0100	1	1.44e-16	PF3D7_0809700	imm_gam
263	PF14_0287	1	3.01e-40	PF3D7_1430800	imm_gam
268	PF11_0311	0.083420138	1	PF3D7_1130000	imm_gam
3	PF13_0295	0.402132327	1	PF3D7_1355600	gam_ring
3	PFC0260W	1	1.31e-42	PF3D7_0305800	gam_ring
5	PF13_0269	1	0.895365824	PF3D7_1351600	gam_ring
6	PF08_0013	1	1.13e-38	PF3D7_0827700	gam_ring
6	PF14_0163	1	6.37e-31	PF3D7_1416400	gam_ring
6	PFC0675C	1	2.06e-130	PF3D7_0315500	gam_ring
6	PFL1260W	1	6.18e-10	PF3D7_1226100	gam_ring
13	PF14_0736	1	0.041143976	PF3D7_1476600	gam_ring
14	PF14_0708	1	7.96e-22	PF3D7_1474000	gam_ring
20	MAL13P1.149	1	1.8e-18	PF3D7_1328600	gam_ring
21	MAL6P1.39	NA	NA	PF3D7_0603600	gam_ring
25	PF10_0245	3.38e-10	1	PF3D7_1025100	gam_ring
27	PFE1200W	1	0.00189552	PF3D7_0524100	gam_ring
30	PFI1635W	1	5.48e-06	PF3D7_0933800	gam_ring
30	PFL0115W	1	9.39e-22	PF3D7_1202300	gam_ring
32	PFB0690W	1	3.32e-31	PF3D7_0215200	gam_ring
36	MAL13P1.340	1	0.051279767	PF3D7_1367300	gam_ring
36	PF13_0248	1	2.73e-20	PF3D7_1346800	gam_ring
36	PF14_0099	1	0.193905748	PF3D7_1410100	gam_ring
36	PF14_0263	1	7.96e-26	PF3D7_1428400	gam_ring
36	PFE1525W	1	1.11e-12	PF3D7_0530500	gam_ring
39	PFI1115C	7.97e-14	1	PF3D7_0922700	gam_ring
43	MAL13P1.24	1	0.031117342	PF3D7_1304300	gam_ring
43	MAL13P1.251	1	1.86e-28	PF3D7_1349900	gam_ring
43	PFA0435W	0.20843128	1	PF3D7_0108800	gam_ring
44	PF14_0735	1	0.000503078	PF3D7_1476500	gam_ring
44	PF14_0744	1.6e-09	1	PF3D7_1477300	gam_ring
44	PF14_0745	1	0.030301079	PF3D7_1477400	gam_ring
44	PF14_0748	0.055251329	1	PF3D7_1477700	gam_ring
46	MAL13P1.115	0.13640798	1	PF3D7_1321200	gam_ring
53	PF10_0381	1	5.67e-29	PF3D7_1039100	gam_ring
74	MAL6P1.81	NA	NA	PF3D7_0607800	gam_ring
75	MAL7P1.69	1	1.7e-19	PF3D7_0714400	gam_ring
84	MAL6P1.275	NA	NA	PF3D7_0615100	gam_ring
84	PF14_0262	0.640323131	1	PF3D7_1428400	gam_ring
84	PF14_0626	1	0.021938872	PF3D7_1465800	gam_ring
84	PFC0750W	1	0.000293432	PF3D7_0317100	gam_ring
87	PF13_0172	1.11e-13	1	PF3D7_1332100	gam_ring
88	PFC0805W	9.68e-42	1	PF3D7_0318200	gam_ring
94	PFL1710C	1	2.82e-16	PF3D7_1235400	gam_ring
95	MAL13P1.335	2.41e-31	1	PF3D7_1366800	gam_ring
95	MAL8P1.63	0.016795191	1	PF3D7_0819500	gam_ring
95	PF11_0320	1	5.56e-14	PF3D7_1131000	gam_ring
95	PF14_0036	2.13e-05	1	PF3D7_1403900	gam_ring
95	PFL1865W	1	1.48e-20	PF3D7_1238500	gam_ring
