V1	V2	Cluster
PF3D7_0100700	Plasmodium exported protein, unknown function, fragment	1
PF3D7_0101300	Pfmc-2TM Maurer's cleft two transmembrane protein	2
PF3D7_0102000	Plasmodium exported protein (PHISTa), unknown function, pseudogene	3
PF3D7_0102200	ring-infected erythrocyte surface antigen	4
PF3D7_0102500	erythrocyte binding antigen-181	5
PF3D7_0102600	serine/threonine protein kinase, FIKK family	6
PF3D7_0102700	merozoite-associated tryptophan-rich antigen	7
PF3D7_0102800	conserved Plasmodium protein, unknown function	8
PF3D7_0102900	aspartate--tRNA ligase	9
PF3D7_0103000	vacuolar protein sorting-associated protein VTA1, putative	10
PF3D7_0103100	vacuolar protein sorting-associated protein 51, putative	11
PF3D7_0103200	nucleoside transporter 4	12
PF3D7_0103300	conserved Plasmodium protein, unknown function	13
PF3D7_0103400	zinc-carboxypeptidase, putative	14
PF3D7_0103500	conserved Plasmodium protein, unknown function	15
PF3D7_0103600	ATP-dependent RNA helicase, putative	16
PF3D7_0103700	L-seryl-tRNA(Sec) kinase, putative	17
PF3D7_0103800	actin-related protein	18
PF3D7_0103900	parasite-infected erythrocyte surface protein	19
PF3D7_0104000	thrombospondin-related sporozoite protein	20
PF3D7_0104100	conserved Plasmodium membrane protein, unknown function	21
PF3D7_0104200	StAR-related lipid transfer protein	22
PF3D7_0104300	ubiquitin carboxyl-terminal hydrolase 1, putative	23
PF3D7_0104400	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	24
PF3D7_0104500	conserved protein, unknown function	25
PF3D7_0104600	conserved Plasmodium protein, unknown function	26
PF3D7_0104700	major facilitator superfamily-related transporter, putative	53
PF3D7_0104800	novel putative transporter 1, putative	27
PF3D7_0105100	conserved Apicomplexan protein, unknown function	28
PF3D7_0105200	RAP protein, putative	29
PF3D7_0105300	cyclase-associated protein	30
PF3D7_0105400	conserved Plasmodium protein, unknown function	18
PF3D7_0105500	conserved Plasmodium protein, unknown function	1
PF3D7_0105600	conserved Plasmodium protein, unknown function	31
PF3D7_0105700	asparagine-rich antigen Pfa35-2	32
PF3D7_0105800	conserved Plasmodium protein, unknown function	33
PF3D7_0105900	3'-5' exonuclease, putative	28
PF3D7_0106000	conserved Plasmodium protein, unknown function	34
PF3D7_0106100	V-type proton ATPase subunit C, putative	35
PF3D7_0106200	conserved Plasmodium protein, unknown function	18
PF3D7_0106300	calcium-transporting ATPase	36
PF3D7_0106400	pre-rRNA-processing protein TSR2, putative	9
PF3D7_0106500	conserved Plasmodium protein, unknown function	37
PF3D7_0106600	conserved Plasmodium protein, unknown function	38
PF3D7_0106700	small ribosomal subunit assembling AARP2 protein	39
PF3D7_0106800	ras-related protein Rab-5C	40
PF3D7_0106900	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	41
PF3D7_0107000	centrin-1	24
PF3D7_0107100	conserved Plasmodium protein, unknown function	42
PF3D7_0107300	conserved Plasmodium protein, unknown function	43
PF3D7_0107400	conserved Apicomplexan protein, unknown function	44
PF3D7_0107500	lipid/sterol:H+ symporter	45
PF3D7_0107600	eukaryotic translation initiation factor 2-alpha kinase 2, putative	46
PF3D7_0107700	OST3/OST6 domain-containing protein, putative	47
PF3D7_0107800	double-strand break repair protein MRE11	48
PF3D7_0107900	conserved Plasmodium protein, unknown function	49
PF3D7_0108000	proteasome subunit beta type-3, putative	50
PF3D7_0108100	conserved Plasmodium protein, unknown function	51
PF3D7_0108300	conserved Plasmodium protein, unknown function	39
PF3D7_0108400	mitochondrial carrier protein, putative	52
PF3D7_0108500	conserved Plasmodium protein, unknown function	7
PF3D7_0108600	conserved Plasmodium protein, unknown function	53
PF3D7_0108700	secreted ookinete protein, putative	54
PF3D7_0108800	conserved Plasmodium protein, unknown function	55
PF3D7_0109000	photosensitized INA-labeled protein PHIL1	14
PF3D7_0109100	LCCL domain-containing protein	14
PF3D7_0109200	cleavage and polyadenylation specificity factor subunit 5, putative	56
PF3D7_0109300	fatty acid elongation protein, GNS1/SUR4 family, putative	57
PF3D7_0109400	tubulin-specific chaperone a, putative	58
PF3D7_0109500	N-acetyltransferase, GNAT family, putative	59
PF3D7_0109600	cold-shock protein, putative	60
PF3D7_0109700	rRNA biogenesis protein RRP36, putative	39
PF3D7_0109800	phenylalanine--tRNA ligase alpha subunit	61
PF3D7_0110000	conserved Plasmodium protein, unknown function	63
PF3D7_0110100	selenocysteine-specific elongation factor selB homologue, putative	64
PF3D7_0110200	FAD-linked sulfhydryl oxidase ERV1, putative	65
PF3D7_0110400	DNA-directed RNA polymerase II subunit RPB9, putative	9
PF3D7_0110500	bromodomain protein, putative	48
PF3D7_0110600	phosphatidylinositol-4-phosphate 5-kinase	66
PF3D7_0110700	chromatin assembly factor 1 protein WD40 domain, putative	58
PF3D7_0110800	transcription initiation factor TFIIB, putative	45
PF3D7_0110900	adenylate kinase-like protein 1	59
PF3D7_0111000	kinesin-8, putative	67
PF3D7_0111200	conserved Plasmodium protein, unknown function	68
PF3D7_0111300	P-loop containing nucleoside triphosphate hydrolase, putative	32
PF3D7_0111400	conserved Plasmodium protein, unknown function	69
PF3D7_0111500	UMP-CMP kinase, putative	34
PF3D7_0111600	conserved Plasmodium protein, unknown function	70
PF3D7_0111700	conserved Plasmodium protein, unknown function	29
PF3D7_0111800	eukaryotic translation initiation factor 4E, putative	71
PF3D7_0111900	conserved protein, unknown function	72
PF3D7_0112000	TatD-like deoxyribonuclease	73
PF3D7_0112100	conserved Plasmodium protein, unknown function	74
PF3D7_0112200	multidrug resistance-associated protein 1	75
PF3D7_0112800	Plasmodium exported protein (hyp11), unknown function	76
PF3D7_0112900	Plasmodium exported protein, unknown function	77
PF3D7_0113000	glutamic acid-rich protein	70
PF3D7_0113100	surface-associated interspersed protein 1.1 (SURFIN 1.1)	78
PF3D7_0113200	Plasmodium exported protein, unknown function	75
PF3D7_0113300	Plasmodium exported protein (hyp1), unknown function	76
PF3D7_0113400	Plasmodium exported protein, unknown function	232
PF3D7_0113600	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene	79
PF3D7_0113700	heat shock protein 40, type II	80
PF3D7_0113800	DBL containing protein, unknown function	78
PF3D7_0113900	CX3CL1-binding protein 1	81
PF3D7_0114000	exported protein family 1	82
PF3D7_0114100	Pfmc-2TM Maurer's cleft two transmembrane protein	2
PF3D7_0114200	exported protein family 3	155
PF3D7_0114300	exported protein family 4, pseudogene	11
PF3D7_0114500	Plasmodium exported protein (hyp10), unknown function	83
PF3D7_0114800	Plasmodium exported protein (hyp7), unknown function	75
PF3D7_0114900	Plasmodium exported protein, unknown function, pseudogene	84
PF3D7_0115000	surface-associated interspersed protein 1.3 (SURFIN 1.3)	2
PF3D7_0201100	Plasmodium exported protein, unknown function, fragment	181
PF3D7_0201400	Plasmodium exported protein (hyp10), unknown function	142
PF3D7_0201500	Plasmodium exported protein (hyp9), unknown function	70
PF3D7_0201600	PHISTb domain-containing RESA-like protein 1	85
PF3D7_0201700	DnaJ protein, putative	81
PF3D7_0201800	knob associated heat shock protein 40	85
PF3D7_0201900	erythrocyte membrane protein 3	70
PF3D7_0202000	knob-associated histidine-rich protein	70
PF3D7_0202100	liver stage associated protein 2	7
PF3D7_0202200	EMP1-trafficking protein	81
PF3D7_0202300	Plasmodium exported protein (hyp11), unknown function	86
PF3D7_0202400	translation-enhancing factor	87
PF3D7_0202500	early transcribed membrane protein 2	7
PF3D7_0202600	nucleic acid binding protein, putative	88
PF3D7_0202700	octaprenyl pyrophosphate synthase	89
PF3D7_0202900	palmitoyltransferase DHHC12, putative	11
PF3D7_0203000	repetitive organellar protein, putative	90
PF3D7_0203300	ERCC1 nucleotide excision repair protein, putative	91
PF3D7_0203400	conserved Plasmodium protein, unknown function	92
PF3D7_0203600	conserved Plasmodium protein, unknown function	93
PF3D7_0203700	protein MAK16, putative	94
PF3D7_0203800	conserved Plasmodium protein, unknown function	95
PF3D7_0203900	5'-3' exonuclease, N-terminal resolvase-like domain, putative	96
PF3D7_0204000	condensin-2 complex subunit H2, putative	89
PF3D7_0204100	conserved Plasmodium protein, unknown function	34
PF3D7_0204200	conserved Plasmodium protein, unknown function	91
PF3D7_0204300	conserved Plasmodium protein, unknown function	97
PF3D7_0204500	aspartate transaminase	26
PF3D7_0204600	5'-3' exonuclease, putative	96
PF3D7_0204700	hexose transporter	98
PF3D7_0204800	3'-5' exonuclease, putative	96
PF3D7_0204900	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative	99
PF3D7_0205000	conserved Plasmodium protein, unknown function	63
PF3D7_0205300	conserved Plasmodium protein, unknown function	43
PF3D7_0205400	PCI domain-containing protein, putative	100
PF3D7_0205500	DNA-directed RNA polymerase II 16 kDa subunit, putative	97
PF3D7_0205600	conserved Plasmodium protein, unknown function	44
PF3D7_0205700	RNA-binding protein, putative	66
PF3D7_0205900	26S proteasome regulatory subunit RPN1, putative	101
PF3D7_0206000	DNA repair protein RAD2, putative	102
PF3D7_0206100	cysteine desulfuration protein SufE	100
PF3D7_0206200	pantothenate transporter	103
PF3D7_0206300	pentafunctional AROM polypeptide, putative, pseudogene	104
PF3D7_0206500	conserved Plasmodium protein, unknown function	66
PF3D7_0206600	DNA-directed RNA polymerase III subunit RPC10, putative	105
PF3D7_0206700	adenylosuccinate lyase	52
PF3D7_0206800	merozoite surface protein 2	5
PF3D7_0206900	merozoite surface protein 5	5
PF3D7_0207000	merozoite surface protein 4	106
PF3D7_0207100	conserved Plasmodium protein, unknown function	103
PF3D7_0207200	iron-sulfur assembly protein, putative	95
PF3D7_0207300	serine repeat antigen 8	107
PF3D7_0207400	serine repeat antigen 7	27
PF3D7_0207500	serine repeat antigen 6	108
PF3D7_0207600	serine repeat antigen 5	34
PF3D7_0207700	serine repeat antigen 4	106
PF3D7_0207800	serine repeat antigen 3	106
PF3D7_0207900	serine repeat antigen 2	11
PF3D7_0208000	serine repeat antigen 1	11
PF3D7_0208100	conserved Plasmodium protein, unknown function	89
PF3D7_0208200	KRR1 small subunit processome component, putative	39
PF3D7_0208300	conserved Plasmodium protein, unknown function	65
PF3D7_0208400	conserved Plasmodium protein, unknown function	109
PF3D7_0208500	acyl carrier protein	108
PF3D7_0208600	ribosome-recycling factor	32
PF3D7_0208700	conserved Plasmodium protein, unknown function, unspecified product	110
PF3D7_0208800	conserved Plasmodium protein, unknown function	111
PF3D7_0208900	6-cysteine protein	46
PF3D7_0209000	6-cysteine protein	124
PF3D7_0209100	phospholipase A2, putative	112
PF3D7_0209200	3'exoribonuclease, putative	9
PF3D7_0209300	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	56
PF3D7_0209600	transporter, putative	18
PF3D7_0209700	RING zinc finger protein, putative	113
PF3D7_0209800	ATP-dependent RNA helicase UAP56	39
PF3D7_0210000	secretory complex protein 61 gamma subunit	110
PF3D7_0210100	60S ribosomal protein L37ae, putative	9
PF3D7_0210200	conserved Plasmodium protein, unknown function	32
PF3D7_0210300	monocarboxylate transporter, putative	57
PF3D7_0210500	conserved Plasmodium protein, unknown function	114
PF3D7_0210600	conserved Plasmodium protein, unknown function	103
PF3D7_0210700	syntaxin, Qa-SNARE family	103
PF3D7_0210800	conserved Plasmodium protein, unknown function	4
PF3D7_0210900	conserved Plasmodium protein, unknown function	39
